Date,weekday,Holiday,working _day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
01/01/2011,7,OH,H,WHH,1,1,2011,59806.66667,89710
02/01/2011,1,NAH,H,HHW,2,1,2011,55066.66667,82600
03/01/2011,2,NAH,W,HWW,3,1,2011,50293.33333,75440
04/01/2011,3,NAH,W,WWW,4,1,2011,55613.33333,83420
05/01/2011,4,OH,W,WWW,5,1,2011,38353.33333,57530
06/01/2011,5,NAH,W,WWW,6,1,2011,52846.66667,79270
07/01/2011,6,NAH,W,WWH,7,1,2011,50120,75180
08/01/2011,7,NAH,H,WHH,8,1,2011,46813.33333,70220
09/01/2011,1,NAH,H,HHW,9,1,2011,33733.33333,50600
10/01/2011,2,NAH,W,HWW,10,1,2011,43173.33333,64760
11/01/2011,3,NAH,W,WWW,11,1,2011,33753.33333,50630
12/01/2011,4,NAH,W,WWW,12,1,2011,30093.33333,45140
13/01/2011,5,NAH,W,WWW,13,1,2011,13366.66667,20050
14/01/2011,6,NAH,W,WWH,14,1,2011,13686.66667,20530
15/01/2011,7,OH,H,WHH,15,1,2011,14793.33333,22190
16/01/2011,1,NAH,H,HHW,16,1,2011,27013.33333,40520
17/01/2011,2,NAH,W,HWW,17,1,2011,35846.66667,53770
18/01/2011,3,NAH,W,WWW,18,1,2011,37700,56550
19/01/2011,4,NAH,W,WWW,19,1,2011,30026.66667,45040
20/01/2011,5,NAH,W,WWW,20,1,2011,30373.33333,45560
21/01/2011,6,NAH,W,WWH,21,1,2011,23473.33333,35210
22/01/2011,7,NAH,H,WHH,22,1,2011,33260,49890
23/01/2011,1,NAH,H,HHW,23,1,2011,29286.66667,43930
24/01/2011,2,NAH,W,HWW,24,1,2011,17026.66667,25540
25/01/2011,3,NAH,W,WWW,25,1,2011,30766.66667,46150
26/01/2011,4,NH,W,WWW,26,1,2011,22420,33630
27/01/2011,5,NAH,W,WWW,27,1,2011,28533.33333,42800
28/01/2011,6,NAH,W,WWH,28,1,2011,19760,29640
29/01/2011,7,NAH,H,WHH,29,1,2011,34340,51510
30/01/2011,1,NAH,H,HHW,30,1,2011,42120,63180
31/01/2011,2,NAH,W,HWW,31,1,2011,47660,71490
01/02/2011,3,NAH,W,WWW,1,2,2011,39533.33333,59300
02/02/2011,4,NAH,W,WWW,2,2,2011,41046.66667,61570
03/02/2011,5,O,W,WWW,3,2,2011,67140,100710
04/02/2011,6,NAH,W,WWH,4,2,2011,33326.66667,49990
05/02/2011,7,NAH,H,WHH,5,2,2011,41520,62280
06/02/2011,1,NAH,H,HHW,6,2,2011,41346.66667,62020
07/02/2011,2,NAH,W,HWW,7,2,2011,43273.33333,64910
08/02/2011,3,OH,W,WWW,8,2,2011,32800,50850
09/02/2011,4,NAH,W,WWW,9,2,2011,30833.33333,46250
10/02/2011,5,NAH,W,WWW,10,2,2011,23806.66667,35710
11/02/2011,6,NAH,W,WWH,11,2,2011,23960,35940
12/02/2011,7,NAH,H,WHH,12,2,2011,27540,41310
13/02/2011,1,NAH,H,HHW,13,2,2011,33326.66667,49990
14/02/2011,2,O,W,HWW,14,2,2011,21153.33333,31730
15/02/2011,3,NAH,W,WWW,15,2,2011,36660,54990
16/02/2011,4,NH,W,WWW,16,2,2011,32280,48420
17/02/2011,5,NAH,W,WWW,17,2,2011,29426.66667,44140
18/02/2011,6,OH,W,WWH,18,2,2011,27153.33333,40730
19/02/2011,7,OH,H,WHH,19,2,2011,30426.66667,45640
20/02/2011,1,NAH,H,HHW,20,2,2011,31946.66667,47920
21/02/2011,2,NAH,W,HWW,21,2,2011,25313.33333,37970
22/02/2011,3,NAH,W,WWW,22,2,2011,26106.66667,39160
23/02/2011,4,NAH,W,WWW,23,2,2011,22620,33930
24/02/2011,5,NAH,W,WWW,24,2,2011,31373.33333,47060
25/02/2011,6,NAH,W,WWH,25,2,2011,540,810
26/02/2011,7,NAH,H,WHH,26,2,2011,38186.66667,57280
27/02/2011,1,OH,H,HHW,27,2,2011,48666.66667,73000
28/02/2011,2,NAH,W,HWW,28,2,2011,40720,61080
01/03/2011,3,NAH,W,WWW,1,3,2011,51120,76680
02/03/2011,4,NH,W,WWW,2,3,2011,49260,73890
03/03/2011,5,NAH,W,WWW,3,3,2011,67040,100560
04/03/2011,6,NAH,W,WWH,4,3,2011,44573.33333,66860
05/03/2011,7,NAH,H,WHH,5,3,2011,42993.33333,64490
06/03/2011,1,NAH,H,HHW,6,3,2011,63360,95040
07/03/2011,2,NAH,W,HWW,7,3,2011,41393.33333,62090
08/03/2011,3,NAH,W,WWW,8,3,2011,35326.66667,52990
09/03/2011,4,NAH,W,WWW,9,3,2011,29406.66667,44110
10/03/2011,5,NAH,W,WWW,10,3,2011,33526.66667,50290
11/03/2011,6,NAH,W,WWH,11,3,2011,20120,30180
12/03/2011,7,NAH,H,WHH,12,3,2011,37786.66667,56680
13/03/2011,1,NAH,H,HHW,13,3,2011,34200,51300
14/03/2011,2,NAH,W,HWW,14,3,2011,35040,52560
15/03/2011,3,NAH,W,WWW,15,3,2011,26366.66667,39550
16/03/2011,4,NAH,W,WWW,16,3,2011,35573.33333,53360
17/03/2011,5,NAH,W,WWW,17,3,2011,36266.66667,54400
18/03/2011,6,NAH,W,WWH,18,3,2011,26346.66667,39520
19/03/2011,7,OH,H,WHH,19,3,2011,22400,33600
20/03/2011,1,OH,H,HHW,20,3,2011,19233.33333,28850
21/03/2011,2,NAH,W,HWW,21,3,2011,31020,46530
22/03/2011,3,NAH,W,WWW,22,3,2011,24393.33333,36590
23/03/2011,4,NAH,W,WWW,23,3,2011,26013.33333,39020
24/03/2011,5,NAH,W,WWW,24,3,2011,21366.66667,32050
25/03/2011,6,NAH,W,WWH,25,3,2011,22180,33270
26/03/2011,7,NAH,H,WHH,26,3,2011,27346.66667,41020
27/03/2011,1,NAH,H,HHW,27,3,2011,35920,53880
28/03/2011,2,NAH,W,HWW,28,3,2011,31673.33333,47510
29/03/2011,3,NAH,W,WWW,29,3,2011,30433.33333,45650
30/03/2011,4,NAH,W,WWW,30,3,2011,30986.66667,46480
31/03/2011,5,NAH,W,WWW,31,3,2011,51760,77640
01/04/2011,6,NAH,W,WWH,1,4,2011,29700,44550
02/04/2011,7,NAH,H,WHH,2,4,2011,40566.66667,60850
03/04/2011,1,NAH,H,HHW,3,4,2011,48946.66667,73420
04/04/2011,2,OH,W,HWW,4,4,2011,42566.66667,63850
05/04/2011,3,NAH,W,WWW,5,4,2011,45866.66667,68800
06/04/2011,4,NAH,W,WWW,6,4,2011,51620,77430
07/04/2011,5,NAH,W,WWW,7,4,2011,40146.66667,60220
08/04/2011,6,NAH,W,WWH,8,4,2011,29486.66667,44230
09/04/2011,7,NAH,H,WHH,9,4,2011,45273.33333,67910
10/04/2011,1,NAH,H,HHW,10,4,2011,37280,55920
11/04/2011,2,NAH,W,HWW,11,4,2011,24160,36240
12/04/2011,3,NH,W,WWW,12,4,2011,19246.66667,28870
13/04/2011,4,NAH,W,WWW,13,4,2011,33886.66667,50830
14/04/2011,5,OH,W,WWW,14,4,2011,34360,51540
15/04/2011,6,NAH,W,WWH,15,4,2011,35906.66667,53860
16/04/2011,7,NH,H,WHH,16,4,2011,28700,43050
17/04/2011,1,NAH,H,HHW,17,4,2011,44900,67350
18/04/2011,2,NAH,W,HWW,18,4,2011,35340,53010
19/04/2011,3,O,W,WWW,19,4,2011,24106.66667,36160
20/04/2011,4,NAH,W,WWW,20,4,2011,26520,39780
21/04/2011,5,R-C,W,WWW,21,4,2011,36820,55230
22/04/2011,6,NH,W,WWH,22,4,2011,18553.33333,27830
23/04/2011,7,NAH,H,WHH,23,4,2011,16780,25170
24/04/2011,1,OH,H,HHW,24,4,2011,22460,33690
25/04/2011,2,NAH,W,HWW,25,4,2011,26813.33333,40220
26/04/2011,3,NAH,W,WWW,26,4,2011,23600,35400
27/04/2011,4,NAH,W,WWW,27,4,2011,25500,38250
28/04/2011,5,NAH,W,WWW,28,4,2011,54240,81360
29/04/2011,6,NAH,W,WWH,29,4,2011,42400,63600
30/04/2011,7,NAH,H,WHH,30,4,2011,24106.66667,36160
01/05/2011,1,O,H,HHW,1,5,2011,59406.66667,89110
02/05/2011,2,NAH,W,HWW,2,5,2011,34940,52410
03/05/2011,3,NAH,W,WWW,3,5,2011,48700,73050
04/05/2011,4,NAH,W,WWW,4,5,2011,43593.33333,65390
05/05/2011,5,NAH,W,WWW,5,5,2011,47293.33333,70940
06/05/2011,6,NAH,W,WWH,6,5,2011,35106.66667,52660
07/05/2011,7,NAH,H,WHH,7,5,2011,33053.33333,49580
08/05/2011,1,O,H,HHW,8,5,2011,44040,66060
09/05/2011,2,OH,W,HWW,9,5,2011,52606.66667,78910
10/05/2011,3,NAH,W,WWW,10,5,2011,34380,51570
11/05/2011,4,NAH,W,WWW,11,5,2011,40580,60870
12/05/2011,5,NAH,W,WWW,12,5,2011,45486.66667,68230
13/05/2011,6,NAH,W,WWH,13,5,2011,26260,39390
14/05/2011,7,NAH,H,WHH,14,5,2011,24993.33333,37490
15/05/2011,1,NAH,H,HHW,15,5,2011,36626.66667,54940
16/05/2011,2,NAH,W,HWW,16,5,2011,36406.66667,54610
17/05/2011,3,NH,W,WWW,17,5,2011,43993.33333,65990
18/05/2011,4,NAH,W,WWW,18,5,2011,33706.66667,50560
19/05/2011,5,NAH,W,WWW,19,5,2011,39246.66667,58870
20/05/2011,6,NAH,W,WWH,20,5,2011,23160,34740
21/05/2011,7,NAH,H,WHH,21,5,2011,58713.33333,88070
22/05/2011,1,NAH,H,HHW,22,5,2011,35213.33333,52820
23/05/2011,2,NAH,W,HWW,23,5,2011,36526.66667,54790
24/05/2011,3,NAH,W,WWW,24,5,2011,50293.33333,75440
25/05/2011,4,NAH,W,WWW,25,5,2011,49186.66667,73780
26/05/2011,5,NAH,W,WWW,26,5,2011,34773.33333,52160
27/05/2011,6,NAH,W,WWH,27,5,2011,25673.33333,38510
28/05/2011,7,NAH,H,WHH,28,5,2011,35466.66667,53200
29/05/2011,1,NAH,H,HHW,29,5,2011,29453.33333,44180
30/05/2011,2,NAH,W,HWW,30,5,2011,55413.33333,83120
31/05/2011,3,NAH,W,WWW,31,5,2011,47860,71790
01/06/2011,4,NAH,W,WWW,1,6,2011,49520,74280
02/06/2011,5,NAH,W,WWW,2,6,2011,50613.33333,75920
03/06/2011,6,NAH,W,WWH,3,6,2011,11233.33333,16850
04/06/2011,7,NAH,H,WHH,4,6,2011,27053.33333,40580
05/06/2011,1,NAH,H,HHW,5,6,2011,49313.33333,73970
06/06/2011,2,NAH,W,HWW,6,6,2011,57920,86880
07/06/2011,3,NAH,W,WWW,7,6,2011,45733.33333,68600
08/06/2011,4,NAH,W,WWW,8,6,2011,41053.33333,61580
09/06/2011,5,NAH,W,WWW,9,6,2011,42346.66667,63520
10/06/2011,6,NAH,W,WWH,10,6,2011,27860,41790
11/06/2011,7,NAH,H,WHH,11,6,2011,39313.33333,58970
12/06/2011,1,NAH,H,HHW,12,6,2011,39506.66667,59260
13/06/2011,2,NAH,W,HWW,13,6,2011,36706.66667,55060
14/06/2011,3,NAH,W,WWW,14,6,2011,33313.33333,49970
15/06/2011,4,NAH,W,WWW,15,6,2011,32426.66667,48640
16/06/2011,5,OH,W,WWW,16,6,2011,43786.66667,65680
